51;82;82;82;100;51;51
55;55;22;75;75;75;55
72;62;82;29;94;36;89
40;63;17;5;50;67;39
94;38;41;20;45;35;35
6;68;68;32;6;6;68
78;25;54;38;58;7;13
41;33;54;69;33;86;26
83;83;61;61;61;18;83
92;35;97;83;58;7;93
9;27;79;73;20;64;84
32;2;32;58;15;1;60
32;26;80;43;39;1;37
60;4;91;66;55;90;6
43;32;49;43;9;36;17
76;12;61;57;50;98;76
6;13;63;86;47;27;8
15;82;34;44;13;66;38
98;95;96;93;97;45;42
17;67;17;67;17;35;67
90;78;78;90;18;78;90
69;29;35;95;85;59;72
6;6;6;57;57;57;89
92;50;92;93;93;93;92
49;83;83;49;49;36;83
59;59;14;14;59;14;48
51;78;85;35;65;84;89
97;100;91;27;23;37;70
46;83;12;12;46;12;46
38;72;72;77;76;81;32
2;2;15;76;2;76;76
96;7;94;90;35;72;66
28;28;28;16;16;74;16
31;51;3;1;20;9;88
18;41;36;22;29;42;19
75;33;70;44;9;96;64
40;8;34;50;88;37;87
49;9;32;1;8;87;32
36;1;1;36;36;56;1
36;28;1;45;63;72;30
38;53;31;24;46;9;69
52;83;43;95;10;31;62
58;58;25;58;13;25;25
73;73;1;71;1;1;73
48;57;87;76;68;100;49
52;41;74;64;48;5;15
79;61;79;61;79;20;61
98;7;100;49;12;41;83
89;91;91;72;89;89;91
28;28;53;53;53;88;28
38;77;38;77;38;31;77
61;69;61;69;69;4;61
51;46;42;42;46;46;42
99;68;87;99;99;87;87
40;37;37;74;74;37;74
92;9;12;40;9;15;41
53;9;7;14;84;5;51
34;49;79;45;14;65;36
73;74;98;73;73;98;98
85;18;31;46;81;31;39
90;50;67;41;22;100;64
33;28;76;67;72;54;15
77;63;63;76;94;21;83
28;16;82;23;92;88;99
62;92;79;7;87;61;86
74;27;87;37;52;73;66
78;96;51;7;16;83;78
15;97;15;46;97;97;15
54;62;51;78;20;92;35
37;27;73;86;80;92;67
12;12;54;9;9;9;12
76;89;33;15;13;79;70
40;85;72;33;69;34;73
98;98;59;98;34;34;34
95;56;95;56;95;56;11
15;58;51;19;13;53;40
22;76;29;45;64;78;34
7;85;86;29;67;44;60
68;90;84;1;22;75;74
96;49;52;42;95;61;27
41;34;74;91;1;72;13
92;55;87;92;55;55;92
62;62;49;49;49;62;33
53;62;58;62;53;53;62
49;49;72;28;72;72;49
98;100;10;100;98;98;100
12;36;12;36;36;12;85
57;15;45;20;23;46;4
89;100;69;69;89;69;89
86;43;88;72;69;81;66
59;59;33;33;59;3;33
81;69;69;3;3;3;69
56;46;27;10;92;88;47
68;41;19;1;11;67;76
82;54;1;89;31;92;97
90;90;3;3;89;90;3
28;75;28;28;2;2;2
67;40;42;10;62;77;94
40;100;40;100;80;100;40
96;98;34;96;96;34;34
70;81;49;40;68;35;17
92;55;5;59;81;86;96
91;10;91;35;35;35;91
40;61;8;72;6;67;83
94;45;45;45;94;94;100
14;11;14;42;14;11;11
