16;14;36;35
13;15;48;37
20;40;45;27
40;21;4;18
36;10;2;27
44;45;41;4
50;24;20;1
23;38;21;20
30;42;31;16
12;23;20;39
20;12;42;46
4;28;35;25
27;12;24;3
24;27;50;13
4;1;5;11
21;20;50;30
40;50;28;5
12;37;37;20
37;42;24;50
2;34;44;45
1;30;49;34
47;18;36;42
39;9;6;23
26;34;31;22
24;14;24;37
12;3;3;15
16;43;16;17
12;18;6;48
16;30;34;31
22;33;46;33
20;2;15;18
8;6;43;24
8;8;39;48
11;26;21;26
12;2;4;8
13;8;9;34
20;49;32;18
17;41;11;10
48;31;49;20
20;36;25;30
44;23;28;12
48;38;20;37
30;28;5;44
23;39;20;49
1;37;42;25
46;14;27;50
39;13;13;27
29;6;2;49
27;39;9;11
36;2;10;13
34;50;28;40
40;37;13;35
31;34;48;14
25;34;37;37
42;29;33;3
10;14;23;28
28;8;10;10
1;7;17;28
23;44;19;20
48;15;15;37
11;45;10;43
6;13;19;9
39;38;9;11
44;17;44;37
17;43;45;48
27;17;23;42
10;11;6;2
30;1;18;16
43;30;32;38
43;3;24;6
19;27;44;26
7;40;5;45
32;13;39;30
35;15;7;33
2;6;30;33
46;45;27;32
15;21;24;30
21;36;12;15
40;41;42;27
23;37;19;47
46;9;7;31
21;4;35;28
5;6;7;34
29;36;12;29
30;41;22;27
32;14;48;15
13;46;23;6
2;13;37;35
11;21;44;44
47;31;33;45
40;27;24;9
32;41;1;33
22;22;28;25
29;46;36;15
44;28;11;32
29;38;23;28
43;38;27;13
21;8;24;50
16;1;38;21
1;15;48;6
49;3;3;5
10;49;31;20
39;49;21;10
24;36;22;21
16;43;18;25
4;18;22;26
11;31;6;45
31;49;21;31
14;41;39;11
41;29;7;30
14;47;22;1
50;3;38;11
33;21;31;17
8;25;33;8
34;48;1;24
38;10;39;3
35;27;45;45
20;8;23;31
18;49;12;29
10;29;13;46
14;4;5;1
33;20;17;22
22;1;4;1
16;16;50;20
13;31;25;20
11;37;28;40
37;39;19;22
7;1;25;48
12;26;11;24
25;24;49;49
48;45;44;43
13;6;29;15
6;30;18;40
50;17;11;44
4;41;36;20
34;42;19;15
38;38;39;34
14;33;13;37
28;39;34;30
32;37;22;46
18;16;20;6
34;8;47;5
6;14;26;33
38;44;24;14
28;12;30;17
40;31;37;5
50;48;44;30
47;6;5;17
11;35;45;25
4;32;2;11
40;44;33;25
35;33;42;21
13;27;36;17
28;48;27;43
8;22;26;50
15;43;26;24
48;49;36;33
50;50;46;15
8;49;34;15
17;49;11;49
29;47;11;27
40;15;43;25
19;28;28;33
36;44;9;39
24;11;37;32
30;39;30;5
5;37;47;33
36;21;17;33
15;16;14;38
25;9;45;49
18;42;44;29
48;6;34;15
41;5;13;6
16;20;12;7
8;29;17;38
42;4;41;28
44;25;49;36
22;14;28;1
40;12;37;24
35;41;31;8
23;38;27;17
48;46;7;13
34;19;9;12
50;47;22;38
18;41;34;44
46;50;9;46
38;29;23;41
1;18;39;19
32;50;24;2
47;32;3;50
40;20;42;34
47;5;30;21
29;44;27;16
41;7;31;43
44;13;12;31
19;31;28;4
28;46;1;44
17;13;26;44
49;21;31;42
22;22;37;9
23;17;3;27
8;50;37;8
36;30;13;9
10;31;11;18
16;22;5;17
27;49;37;44
46;29;16;17
47;29;32;19
20;37;42;17
39;44;7;46
48;49;27;47
12;6;12;19
7;44;4;26
36;17;13;15
4;11;24;17
32;50;44;20
13;27;13;26
6;13;40;6
40;13;50;48
34;29;50;35
34;28;10;32
9;13;35;15
22;30;7;19
33;6;34;27
40;24;38;21
18;40;37;42
15;41;17;22
9;35;32;15
48;12;12;32
4;21;37;3
31;32;11;10
33;33;46;42
49;11;27;28
16;36;22;26
37;14;9;18
35;17;3;3
16;28;45;22
22;21;31;35
13;49;42;27
29;19;35;24
48;25;9;29
26;39;26;24
30;21;6;25
25;36;35;38
28;20;16;28
36;1;6;6
3;35;13;38
14;32;15;45
4;48;31;34
35;5;9;10
48;50;40;37
50;23;46;27
44;43;31;11
14;45;19;9
4;31;12;48
38;21;15;21
23;2;10;3
45;15;43;23
29;49;44;21
47;1;27;19
11;8;21;32
20;5;15;2
49;42;16;16
9;19;26;4
22;13;31;2
34;4;45;27
40;32;39;40
39;11;14;5
33;6;18;40
44;37;37;11
24;2;28;6
30;21;29;38
6;4;41;13
21;30;25;26
33;27;9;18
41;47;32;24
46;25;50;7
29;42;42;21
40;27;24;23
10;44;27;47
26;32;1;28
12;9;23;18
4;25;7;3
23;27;3;24
19;13;37;2
23;14;19;15
22;29;29;9
42;35;29;7
38;43;43;36
42;4;17;22
12;38;10;21
6;8;46;16
13;3;11;39
39;42;14;8
17;40;6;30
27;30;20;38
5;11;47;47
50;18;39;31
48;21;20;15
36;9;25;7
18;1;36;13
41;5;48;30
8;20;29;32
43;35;31;4
15;5;42;28
30;2;21;18
35;9;25;41
25;5;47;40
16;45;15;17
29;47;36;35
31;25;17;1
32;6;8;45
3;5;23;49
22;4;23;41
6;34;26;21
50;17;31;43
27;11;46;21
38;11;30;23
13;35;46;41
14;39;45;30
30;5;21;15
47;7;2;41
28;29;14;10
36;39;8;21
2;40;5;48
22;23;11;46
18;11;22;37
11;44;27;2
5;48;49;9
8;49;5;32
25;47;44;28
30;50;26;5
41;33;34;10
16;38;9;22
36;13;41;41
8;18;36;13
9;25;49;49
37;3;13;26
24;23;18;44
17;3;3;17
26;22;34;3
1;41;21;45
14;33;36;10
1;26;32;49
32;4;18;24
38;36;16;37
2;15;37;45
17;10;17;45
14;2;22;17
2;27;50;10
9;8;42;2
7;14;7;21
47;12;20;48
43;27;35;6
38;3;44;19
47;30;32;7
49;32;35;19
3;23;22;9
13;13;42;12
38;32;33;47
12;35;11;21
22;34;30;7
17;24;14;33
3;17;40;34
22;20;47;30
23;5;17;43
38;6;35;15
35;2;42;30
28;20;30;49
8;12;15;26
20;38;34;18
36;32;37;41
12;47;22;27
43;19;27;24
29;6;42;46
41;24;21;29
19;33;5;21
11;39;43;6
35;10;36;1
29;25;34;12
41;23;43;25
38;13;46;17
29;5;14;10
47;8;17;31
12;13;35;36
15;33;23;19
41;40;5;26
7;13;9;45
43;45;30;37
22;3;7;40
39;33;38;38
30;4;19;23
46;42;14;12
30;28;40;42
50;2;48;44
40;5;27;43
39;15;43;7
21;13;20;49
35;42;31;7
13;12;33;4
30;18;9;30
12;12;12;32
32;32;30;38
10;49;26;21
12;44;10;33
25;17;31;41
17;36;14;46
47;34;41;23
21;5;23;3
